Law	Medical Emergency Exceptions in State Abortion Statutes: The Statistical Record
Industrial Relations & Labor	Wage structures and human capital
Ethnic Studies	Beyond the 'Auschwitz syndrome': Holocaust historiography after the Cold War
Economics	Policy Forum: Productivity Introduction
Psychology, Multidisciplinary	Fractured song lyrics
Area Studies	EMERGENCE AND EARLY ACQUISITION OF THE ADJECTIVE INFLECTION IN ESTONIAN
Social Sciences, Biomedical	Acquiring a diagnosis of fibromyalgia syndrome: The sociology of diagnosis
Health Policy & Services	Student perceptions about interprofessional education after an elective course
Anthropology	Recent advances and future prospects of the U-Th and U-Pb chronometers applicable to archaeology
Environmental Studies	Elephants over the Cliff: Explaining Wildlife Killings in Tanzania
Transportation	Job accessibility and joint household travel: a study of Hong Kong with a particular focus on new town residents
Psychology, Multidisciplinary	Mark Twain, Unsanctified Newspaper Reporter
Linguistics	"A Late 19th-Century British Perspective on Modern Foreign Language Learning, Teaching, and Reform The legacy of Prendergast's ""Mastery System"""
Social Work	Co-production in scholarly activity: Valuing the social capital of lay people and volunteers
History	Commemorating War 100 Years after the First World War
Business, Finance	Breaking Contracts
Communication	POPULAR CULTURE AND PUBLIC IMAGINARY: DISNEY VS. CHINESE STORIES OF MULAN
Social Sciences, Biomedical	Health justice after the social determinants of health revolution
Social Work	Judge or Bureaucrat? How Administrative Law Judges Exercise Discretion in Welfare Bureaucracies
Education, Special	Video Self-Modeling Interventions for Students With Autism Spectrum Disorder
Criminology & Penology	A qualitative analysis and eleven-factor typology of hypothesized factors encouraging or discouraging the development of problem solving courts in various countries
Social Sciences, Biomedical	Informed consent in research ethics: an analysis from the perspective of Luhmann's social systems theory
Health Policy & Services	An Evaluation Of Recent Federal Spending On Comparative Effectiveness Research: Priorities, Gaps, And Next Steps
International Relations	Climate Change: What Everyone Needs to Know
Transportation	Economic implications for Adriatic seaport regions of further opening of the Northern Sea Route
Business, Finance	System-wide tail comovements: A bootstrap test for cojump identification on the S&P 500, US bonds and currencies
Hospitality, Leisure, Sport & Tourism	Visitor satisfaction with a key wildlife tourism destination within the context of a damaged landscape
Urban Studies	Same projects, different endings-Comparative case studies on NIMBY facility construction in Beijing
Hospitality, Leisure, Sport & Tourism	A strategy for enhancing senior tourists' well-being perception: focusing on the experience economy
Geography	Textbook Questions to Support Spatial Thinking: Differences in Spatiality by Question Location
Communication	Radio Sensors and Electric Storms: Scientific Metaphors in Media Talks
Sociology	Time Period, Generational, and Age Differences in Tolerance for Controversial Beliefs and Lifestyles in the United States, 1972-2012
Linguistics	Effects of two forms of concept mapping on L2 reading comprehension and strategy awareness
Development Studies	Fisheries Trade and Social Development in the Philippine-Malaysia Maritime Border Zone
History	Ten Hills Farm: The Forgotten History of Slavery in the North
History Of Social Sciences	The other author of the 1908 Plan of Chicago: Edward H. Bennett - urban designer, planner and architect
Substance Abuse	Treatment of Nicotine Dependence by Child and Adolescent Psychiatrists
Family Studies	Responsibility and resistance: women negotiating the nourishment of children
Education, Special	The Simple View of Reading: Advancements and False Impressions
Criminology & Penology	Personality Predictors of Driver Vengeance
Gerontology	The social positioning of older people living with Alzheimer's disease who scream in long-term care homes
Transportation	The New Science of Cities
Business, Finance	The impact of firm location on equity issuance
Hospitality, Leisure, Sport & Tourism	Mary Ann to her Ginger: comparing the extended brand identity of two elite female athletes
Hospitality, Leisure, Sport & Tourism	Space hijacking and the anarcho-politics of leisure
History & Philosophy Of Science	A Pluralist View about Information
Social Issues	Fusion Research Time to Set a New Path
Economics	An experimental investigation of Colonel Blotto games
Anthropology	Relationship between chondrocranial-derived components of the nasal complex and cranial base
Social Sciences, Mathematical Methods	Monotonicity properties and the deficit at ruin in the Sparre Andersen model
Public Administration	How does competitive tendering and contracting affect satisfaction with municipal health and care services?
Social Sciences, Interdisciplinary	The Pendulum Swing of Slovakia's Democracy
Demography	On the Politics of Migration: Indonesia and Beyond
Ethics	SCREENING FOR UNDERSTANDING OF RESEARCH IN THE INPATIENT PSYCHIATRY SETTING
Ethnic Studies	Changing Ideas for Changing Times Revolutionary Praxis and the Political Thought of James Boggs
Nursing	Risk-Taking Behaviors in Adolescents With Chronic Cardiac Conditions: A Scoping Review
Communication	Starting From ... Now and the web series to television crossover: an online revolution?
Transportation	Editorial: Understanding funding and financing of transportation infrastructure
Nursing	Educational experience of male students in a baccalaureate nursing program in China
Hospitality, Leisure, Sport & Tourism	'Can we play on the swings and roundabouts?': creating inclusive play spaces for disabled young people and their families
Social Work	Untitled
Ethics	Resisting Reality: Social Construction and Social Critique
International Relations	Plasma donation at the border: Feminist technoscience, bodies and race
Rehabilitation	Early Intervention for Autism With a Parent-Delivered Qigong Massage Program: A Randomized Controlled Trial
Cultural Studies	Codes and Codings in Crisis Signification, Performativity and Excess
Political Science	Antigone's Remainders: Choral Ruminations and Political Judgment
Gerontology	Walking in the cement forest: A health enhancement and pedometer-determined ambulatory (HEPA) program in Hong Kong
Nursing	Outstanding Research-Poster Use of Documentation in the Patient Record for Interprofessional Communication and Collaborative Decision Making: Implications for the Reduction of CLABSI
Education, Special	Assessing the Social Validity of a Telepractice Training and Coaching Intervention
Geography	Introduction: AAG 2012 Nystrom Competition Papers
Women'S Studies	"""He Could Scare Me Without Laying a Hand on Me"": Mothers' Experiences of Nonviolent Coercive Control During Marriage and After Separation"
Communication	Journalism ethics goes to the movies
Public, Environmental & Occupational Health	Alcohol licensing data: Why is it an underused resource in public health?
History & Philosophy Of Science	Cornelius Gemma: Cosmology, Medicine, and Natural Philosophy in Renaissance Louvain
International Relations	Borders, Rivalry, Democracy, and Conflict in the European Region, 1816-1994
Area Studies	Djibouti's unusual resource curse
Family Studies	Elderly, Poor and Resilient: Survival Strategies of Elderly Women in Female-Headed Households: An Intersectionality Perspective
Geography	Ecological benefits of creating messy rivers
Management	Ambiguity as Grasp: The Reworking of Sense
Hospitality, Leisure, Sport & Tourism	Hotel performance and knowledge sources in Spanish tourism districts
Economics	Decomposing the US external returns differential
Social Issues	Community Foundation Development and Social Capital
Area Studies	Nazi Ghettos and Concentration Camps: The Benefits and Pitfalls of an Encyclopedic Approach
Business, Finance	Responsible Personal Finance: The Role of Conscientiousness in Bank and Pension Savings in Chile
Sociology	"Where's high? Who's low? What's new? Classification and stratification inside cultural ""Repertoires"""
Business	What makes strategy making across the sales-marketing interface more successful?
Anthropology	The Creation of Inequality: How Our Prehistoric Ancestors Set the Stage for Monarchy, Slavery, and Empire
Psychology, Multidisciplinary	Measurement of occupational humorous coping
Industrial Relations & Labor	How banning boxes encourages discrimination
Ethics	Contemporary 'people from hideouts' and the problem of the lack of social involvement
Business, Finance	Contrarian Factor Timing is Deceptively Difficult
Social Sciences, Biomedical	Hadooping the genome: The impact of big data tools on biology
Social Sciences, Mathematical Methods	Examining Trait x Method Interactions Using Mixture Distribution Multitrait-Multimethod Models
Anthropology	An archaeologically validated protocol for computing obsidian hydration rates from laboratory data
Cultural Studies	This One Is Different Because It's Ours: The Ordinary, The Extraordinary, and The Working-Class Artist in A Taste of Honey
Family Studies	Family Relations as Social Capital
Social Work	Forms of advocacy in social welfare work with homeless women
Cultural Studies	Horror after 9/11: World of Fear, Cinema of Terror
Development Studies	Rural Household Access to Assets and Markets: A Cross-Country Comparison
Hospitality, Leisure, Sport & Tourism	Non-planning and tourism consumption in Budapest's inner city
Cultural Studies	Ubiquitous Media An Introduction
History & Philosophy Of Science	Apollonius of Perga, Conics, vol 2.1, Books II and III
Political Science	How Charity Hospital Died Seeking funds for a huge new complex, powerful forces blocked its reopening after Katrina
Economics	Impacts of market reform on spatial volatility of maize prices in Tanzania
Nursing	"How is the Awareness of the Medical Community About ""Evidence-Based Practice""?"
Family Studies	Exploring Gender-Based Sibling Roles: A Qualitative Study on Contemporary Iranian Families
Health Policy & Services	Patient Portals And Disparities: The Authors Reply
Nursing	Student satisfaction with content and language integrated learning in nursing education: A cross-sectional study
Development Studies	Between Affiliation and Autonomy: Navigating Pathways of Women's Empowerment and Gender Justice in Rural Bangladesh
Linguistics	"""What about the wolves?': The use of scripture in YouTube arguments"
Anthropology	Regional Settlement Patterns in the Alto Magdalena: The San Agustin-Isnos Zone.
Rehabilitation	Obesity-related disability: key factors identified by the International Classification of Functioning, Disability and Health
Urban Studies	The use of census zones to measure residential segregation. Contraindications, methodological proposal and a case study: Argentina 1991-2001
Education, Special	Performance of Students With and Without Disabilities Under Modified Conditions Using Resource Guides and Read-Aloud Test Modifications on a High-Stakes Reading Test
Anthropology	Middle Pliocene hominin mandibular fourth premolars from Woranso-Mille (Central Afar, Ethiopia)
Public Administration	The permanence of temporary services: The reliance of Canadian federal departments on policy and management consultants
International Relations	Simultaneity between Trade and Conflict Endogenous Instruments of Mass Destruction
Development Studies	Sport mega-events and their legacies: The 2010 FIFA World Cup
Public, Environmental & Occupational Health	Modeling the Effectiveness of Infection Control Measures for the Elimination of Measles: Focus on Adults Born After 1970
Criminology & Penology	Abject (M)Othering: A Narratological Study of the Prison as an Abject and Uncanny Institution
Area Studies	The AU: a new arena for Anglo-French cooperation in Africa ?
Area Studies	Islam and the Secular State: Negotiating the Future of Shari'a
Management	The Viability of Sustained Growth by India's MNEs: India's Dual Economy and Constraints from Location Assets
Rehabilitation	Professional Characteristics that impact Perceptions of Successful Transition Collaboration
Rehabilitation	Don't forget dementia: designing an information pack for Dundee allied health staff
Law	Accountability for Syria: Is the International Criminal Court Now a Realistic Option?
Family Studies	Ideal Age at First Birth and Associated Factors Among Young Adults in Greater New York City: Findings From the Social Position and Family Formation Study
Education & Educational Research	Teacher interactions in taking action upon pupil learning outcome data: A matter of attitude and self-efficacy?
Economics	Tariff Elimination and the Wage Gap in an Industrial Specific Factors Model
Gerontology	Development of Quality Indicators to Address Abuse and Neglect in Home-Based Primary Care and Palliative Care
Industrial Relations & Labor	Husbands' job loss and wives' labor force participation during economic downturns: are all recessions the same?
Political Science	Human Capital and Voting Behavior across Generations: Evidence from an Income Intervention
Social Sciences, Interdisciplinary	Time perspective in adolescents and young adults: Enjoying the present and trusting in a better future
Substance Abuse	A gender perspective on gambling clusters in Sweden using longitudinal data
Geography	JAEN'S OLIVE MONOCULTURE: FROM PRODUCTIVITY TO SUSTAINABILITY?
Social Work	A functional approach to reducing runaway behavior and stabilizing placements for adolescents in foster care
Public, Environmental & Occupational Health	Mapping of children's health and development data on population level using the classification system ICF-CY
History	Slaves and Peasants in the Era of Emancipation
Business	How America Eats: A Social History of US Food and Culture
History	Barbed-Wire Imperialism: Britain's Empire of Camps, 1876-1903.
Public Administration	Will the Affordable Care Act Improve Access for the Medically Underserved? A New Jersey Comment
Cultural Studies	Charity, social justice and sporting celebrity foundations
Regional & Urban Planning	Municipal Approach of Gentrification. Practical Experience from eight Municipalities
Environmental Studies	The challenges of spatial and temporal aggregation: Modelling issues, applications, and policy implications
Business	"""Voting with dollars': a cross-polity and multilevel analysis of political consumerism"
Business	The material-semiotics of fatherhood: The co-emergence of technology and contemporary fatherhood
Industrial Relations & Labor	Unionism and workers' strategies in capitalist transformation: The Polish case reconsidered
Environmental Studies	Using compensation instruments as a vehicle to improve spatial planning: Challenges and opportunities
Hospitality, Leisure, Sport & Tourism	iPod use and the perception of social introversion
Women'S Studies	Kitchen Table c. 1970
Health Policy & Services	The association between health care spending and quality of care for stroke patients in Japan
Education & Educational Research	Students' knowledge about chemical reactions - development and analysis of standard-based test items
Public Administration	How emotional intelligence relates to job satisfaction and burnout in public service jobs
Social Sciences, Mathematical Methods	Stata tip 123: Spell boundaries
Industrial Relations & Labor	UNDERSTANDING THE NATIVE-IMMIGRANT WAGE GAP USING MATCHED EMPLOYER-EMPLOYEE DATA: EVIDENCE FROM GERMANY
Public, Environmental & Occupational Health	Reducing Both Food Insecurity and Excess Body Weight in Costa Rican Women: A Cluster Randomized Trial
Education & Educational Research	The way forward for the development of Liberal Studies: how teachers perceive its introduction and implementation in Hong Kong secondary schools
Psychology, Multidisciplinary	The Effect of Color on Automaticity of Aesthetic Judgments
Political Science	Robert Scigliano In Memoriam
Family Studies	"""It Was Like a Revolution"" Women's Perceptions of Work-Family Practices at a Mexican Multinational Corporation"
Education, Special	A Review of Schoolwide Positive Behavior Interventions and Supports as a Framework for Reducing Disciplinary Exclusions
Psychology, Multidisciplinary	EFFECT OF DISTINCTIVE FRAMES ON MEMORY FOR PICTURES
History	How Britain Won the War of 1812: The Royal Navy's Blockades of the United States, 1812-1815
Rehabilitation	A Discussion about BlindAid Virtual Orientation and Mobility and Blindfolding Those with Low Vision
Geography	Impacts of land use and cover type on runoff and soil erosion in a marginal area of Portugal
Industrial Relations & Labor	The development of employment law in Quebec: its legislative and judicial sources
Political Science	The Scars of the Ghetto
Health Policy & Services	Robust Machine Learning Variable Importance Analyses of Medical Conditions for Health Care Spending
Business	Are consumers' financial needs and values common across cultures? Evidence from six countries
Law	Ideas and Debates in Family Law
Hospitality, Leisure, Sport & Tourism	The impact of participation in pan-European competition on domestic performance in association football
Family Studies	Parental Divorce, Social Capital, and Postbaccalaurate Educational Attainment Among Young Adults
Gerontology	Polypharmacy in Hospitalized Older Adults
Social Sciences, Biomedical	Viral cartographies: Mapping the molecular politics of global HIV
Substance Abuse	Consumers' Perceptions of Edible Marijuana Products for Recreational Use: Likes, Dislikes, and Reasons for Use
Psychology, Multidisciplinary	Breaking ground in cross-cultural research on the fear of being laughed at (gelotophobia): A multi-national study involving 73 countries
Geography	Experiential learning, community engagement, and student experience: Undergraduate field school course in rural British Columbia
Geography	Geological landscape and stone heritage of the Genoa Walls Urban Park and surrounding area (Italy)
History	Health Culture in the Heartland, 1880-1980 An Oral History
Development Studies	The Slow Economic Growth in Algeria: A Comparative Study with Respect to South Korea
Gerontology	2012 Updated Beers Criteria: Greater Applicability to Europe?
Demography	Does Culture Affect Divorce? Evidence From European Immigrants in the United States
History & Philosophy Of Science	Waterways and Canal-Building in Medieval England
History Of Social Sciences	New life for American Downtowns? The 1958 international seminar on urban renewal and the travel of planning ideas in the North Atlantic World
Public, Environmental & Occupational Health	Physical and spatial assessment of school neighbourhood built environments for active transport to school in adolescents from Dunedin (New Zealand)
Ethics	APPEALING TO ALTRUISM IS NOT ENOUGH: MOTIVATORS FOR PARTICIPATING IN HEALTH SERVICES RESEARCH
Public, Environmental & Occupational Health	Can Health Surveillance be emancipatory? An alternative way of thinking about alternatives in times of crisis
History	Days of Rage: America's Radical Underground, the FBI, and the Forgotten Age of Revolutionary Violence.
Nursing	Patterns of Transition Experience for Parents Going Home from Hospital with their Infant after First Stage Surgery for Complex Congenital Heart Disease
Social Sciences, Mathematical Methods	Dividend optimization for general diffusions with restricted dividend payment rates
Public, Environmental & Occupational Health	DOES SOCIAL PROTECTION EXPENDITURE IMPROVE TUBERCULOSIS OUTCOMES? CROSS-NATIONAL ANALYSIS OF 21 EU COUNTRIES 1995-2012
Gerontology	Feeling in control: comparing older people's experiences in different care settings
Education, Special	Critical Educational Program Components for Students With Emotional and Behavioral Disorders: Science, Policy, and Practice
Rehabilitation	A review of the literature on 'Generation Y'
History Of Social Sciences	IMPERCEPTIBLE SIGNS: REMNANTS OF MAGNETISME IN SCIENTIFIC DISCOURSES ON HYPNOTISM IN LATE NINETEENTH-CENTURY FRANCE
Hospitality, Leisure, Sport & Tourism	The impact of information quality in DMOs' Facebook pages on the formation of destination image in the Silk Road: the case of Almaty, Kazakhstan
Nursing	Welcome and What's Planned for the 2018 Nursing Knowledge Big Data Science Conference
Development Studies	Should Rich Nations Help the Poor?
Rehabilitation	Development and evaluation of an early specialised traumatic brain injury vocational rehabilitation training package
Environmental Studies	Extending Planetary Boundaries
Psychology, Multidisciplinary	Art Affinity Influences Art Reception (in the Eye of the Beholder)
Psychology, Multidisciplinary	"Patriarchy and New Comedy in Ancient Athens and Rome: Revisiting Northrop Frye's ""Mythos of Spring: Comedy"""
Management	Social Ontology and the Emergent Moment: A Theoretical and Action Research Inquiry into Rural Microenterprise Development (vol 28, pg 479, 2015)
Industrial Relations & Labor	Remittances as an Insurance Mechanism in the Labor Market
Area Studies	Women's Voices from West Africa: An Anthology of Songs from the Sahel
Information Science & Library Science	Verdure: Vegetable Recipes from the American Academy in Rome; Rome Sustainable Food Project
Geography	Getting Behind the Grain: The Politics of Genetic Modification on the Canadian Prairies
Family Studies	Just Doing What They Gotta Do Single Black Custodial Fathers Coping With the Stresses and Reaping the Rewards of Parenting
Law	International Humanitarian Law: A Comprehensive Introduction
Cultural Studies	A Finger in the Wound: On Pain, Scars, and Suffering
Business, Finance	Managerial cash use, default, and corporate financial policies
Women'S Studies	Fact or Fiction? Gender Issues Related to Newspaper Reports of Intimate Partner Homicide
Environmental Studies	Interactions between payments for hydrologic services, landowner decisions, and ecohydrological consequences: synergies and disconnection in the cloud forest zone of central Veracruz, Mexico
Area Studies	Humanitarian Pluralism: The Arctic Passage in an Age of Refugees
Geography	Geo-tagged Twitter collection and visualization system
Business	Boosting and sustaining passion: A long-term perspective on the effects of entrepreneurship training
Family Studies	INTRODUCTION TO THE SPECIAL ISSUE
History	Vietnam's Southern Revolution: From Peasant Insurrection to Total War
Industrial Relations & Labor	EXPLAINING THE DECLINE IN THE OFFER RATE OF EMPLOYER RETIREMENT PLANS BETWEEN 2003 AND 2012
Public, Environmental & Occupational Health	Survival of patients in the intensive care units of referral hospitals in Amhara Region: A prospective cohort study
Ethics	"Objectivity, value spheres, and ""Inherent laws"" - On some suggestive isomorphisms between Weber, Bourdieu, and Luhmann"
Ethics	The Harm of Premature Death: Immortality - The Transhumanist Challenge
Criminology & Penology	Effects of 13-Hour 20-Minute Work Shifts on Law Enforcement Officers' Sleep, Cognitive Abilities, Health, Quality of Life, and Work Performance: The Phoenix Study
Development Studies	Playing in the sandbox: state building in the space of non-recognition
Public Administration	Late 19th century administrative reform in America: re-articulating Hamiltonian thought
Communication	Deceptive Affection Across Relational Contexts: A Group Comparison of Romantic Relationships, Cross-Sex Friendships, and Friends With Benefits Relationships
Rehabilitation	Clinical Reasoning Guideline for Home Modification Interventions
Gerontology	The longevity marathon and how men and women run different races
Ethics	Barriers and Facilitators to Obtaining Informed Consent in a Critical Care Pediatric Research Ward in Southern Malawi
International Relations	Why the United States did not become a party to the Kyoto Protocol: German, Norwegian, and US perspectives
Cultural Studies	"""Labouring in the image"": celebrity, femininity, and the fully commodified self in the drag of Willam Belli"
Business	Understanding green purchase behavior through death anxiety and individual social responsibility: Mastery as a moderator
Development Studies	Poverty and Social Solidarity in Argentina: Contributions from the Human Capability Approach
Law	Campaign Finance Reform Without Law
Health Policy & Services	Choosing Wisely: How To Fulfill The Promise In The Next 5 Years
Communication	Online Ultra-Orthodox Religious Communities as a Third Space: A Netnographic Study
Ethics	Psychoanalytic Facts as Unintended Institutional Facts
Area Studies	"Holocaust as Fiction: Bernhard Schlink's ""Nazi"" Novels and Their Films"
Business	Could Good Intentions Backfire? An Empirical Analysis of the Bank Deposit Insurance
Rehabilitation	New opportunities for occupational therapy through the occupation of contemporary pilgrimage
Geography	A Location-and-Form-Based Distance for Geographical Analysis
Urban Studies	Portfolio solutions, bulk sales of bank-owned properties, and the reemergence of racially exploitative land contracts
History	Democratic Enlightenment: Philosophy, Revolution, and Human Rights, 1750-1790
Sociology	Affective formations of class consciousness: Care consciousness
Substance Abuse	"Do ""Moderate"" Drinkers Have Reduced Mortality Risk? A Systematic Review and Meta-Analysis of Alcohol Consumption and All-Cause Mortality"
Demography	Age-Specific Correlates of Child Growth
Education & Educational Research	"Effects of Conductor Baton Use on Band and Choral Musicians"" Perceptions of Conductor Expressivity and Clarity"
Psychology, Multidisciplinary	PERCEPTUAL GROUPING IN ARTISTS AND NON-ARTISTS: A PSYCHOPHYSICAL COMPARISON
Rehabilitation	Evaluating medically at-risk drivers: A survey of assessment practices in Canada
Rehabilitation	'Fair day's work' tool - inpatient acute occupational therapy team
Social Sciences, Mathematical Methods	Using R for Numerical Analysis in Science and Engineering
Health Policy & Services	Disputes of Self-reported Chronic Disease Over Time The Role of Race, Ethnicity, Nativity, and Language of Interview
Ethnic Studies	The Neoliberal Turn in Black Politics
Transportation	Efficiency in Nigerian ports: handling imprecise data with a two-stage fuzzy approach
Women'S Studies	Twenty-Five Years of Research and Advocacy on Violence Against Women: What Have We Accomplished, and Where Do We Go From Here? A Conversation
Criminology & Penology	Comment on the Rejoinder of Henry and Tator to Satzevich and Shaffir
Nursing	Methodological Challenges Encountered in a Study of the Impact of Animal-assisted Intervention in Pediatric Heart Transplant Patients
Anthropology	Rhythm, Resonance and Kinaesthetic Enskilment in a Ghanaian Bus Station
Social Sciences, Interdisciplinary	Sighing no longer an option: Healthcare professionals and patients help each other in a unique learning environment
Family Studies	Supporting young fathers: the promise, potential and perils of statutory service provision
Gerontology	Conceptualising sleep: a primer for the uninitiated
Nursing	What factors within the pen-operative environment influence the training of scrub nurses?
Social Sciences, Mathematical Methods	Estimating treatment effects for ordered outcomes using maximum simulated likelihood
Social Sciences, Interdisciplinary	How to Grow up Happy: An Exploratory Study on the Meaning of Happiness from Children's Voices
Sociology	Imprisonment and Infant Mortality
Health Policy & Services	An Overview of Measurement Activities in the Partnership for Patients
Social Sciences, Biomedical	Health care systems as determinants of health outcomes in transition countries: Developing classification
Information Science & Library Science	NEW COPS, OLD COPS
Public Administration	Making Good Use of Partners: Differential Effects of Managerial Networking in the Social Care Domain
Rehabilitation	The Effects of Music Relaxation on Sleep Quality and Emotional Measures in People Living with Schizophrenia
Communication	Curating Technologies of Memory and Affect
Regional & Urban Planning	Christian Gabathuler, NDS 1979/81
History & Philosophy Of Science	Contextual semantics in quantum mechanics from a categorical point of view
Economics	FORECASTING INFLATION USING CONSTANT GAIN LEAST SQUARES
Information Science & Library Science	Information activities within information horizons: A case for college students' personal information management
Transportation	Transit user perceptions of driverless buses
Women'S Studies	Self/image: Technology, representation and the contemporary subject
History & Philosophy Of Science	The Evolution of Beauty: How Darwin's Forgotten Theory of Mate Choice Shapes the Animal World - and Us
Information Science & Library Science	Creative Cut Cards: 35 Greeting Cards for Every Occasion
Social Sciences, Biomedical	Anthill: A Novel
Anthropology	Early medieval Italian Alps: reconstructing diet and mobility in the valleys
Regional & Urban Planning	Towards a critique of cybernetic urbanism: The smart city and the society of control
Development Studies	Exceptional People: How Migration Shaped our World and Will Define our Future
History	The Roman Triumph.
Cultural Studies	"""This Is Not a Politics"": Solidarity and Subterfuge in Palestinian Refugee Communities in Lebanon"
Economics	B2C-bubble to cluster: the dot-com boom, spin-off entrepreneurship, and regional agglomeration
Regional & Urban Planning	On Securitization of Nature
History	Remembering the Civil War: Reunion and the Limits of Reconciliation.
Management	A Primer on Moderated Mediation Analysis: Exploring Logistics Involvement in New Product Development
Ethics	Patenting and Licensing of University Research: Promoting Innovation or Undermining Academic Values?
Social Sciences, Mathematical Methods	Review of Alan Acock's Discovering Structural Equation Modeling Using Stata, Revised Edition
Economics	Modest macroeconomic effects of monetary policy shocks during the great moderation: An alternative interpretation
Industrial Relations & Labor	The Logics of Collective Action of Self-Employed Workers' Associations
Regional & Urban Planning	Michael Trieb
Geography	"""You don't want to peer over people's shoulders, it feels too rude!"" The moral geographies of using participants' personal smartphones in research"
International Relations	Roundtable discussion: Reflections on the past, prospects for the future in gender and international relations
Business, Finance	The Charitable Stretch
Demography	Nation, Migration, Identity: Learning from the Cross-Strait Context
Social Sciences, Biomedical	Intersections of health and gender imperatives: stratified decision-making among women with a BRCA mutation
Psychology, Multidisciplinary	A funny matter: Toward a framework for understanding the function of comedy in social change
Education & Educational Research	Exit cards: creating a dialogue for continuous evaluation
International Relations	Wars of excess: Georges Bataille, solar economy, and the accident in the age of precision war
International Relations	Corruption in Latin America: how politicians and corporations steal from citizens
Communication	Vlogging about school on YouTube: An exploratory study
History & Philosophy Of Science	Michael Polanyi and His Generation: Origins of the Social Construction of Science.
Gerontology	Building bridges to improve end-of-life care by aged care providers for gay, lesbian, bisexual and transgender people
Urban Studies	Political perceptions and practices of participation as an instrument for the governance of territories. A comparative analysis of territorial scales in the macro region south of Chile
Education & Educational Research	A culture of dialogue. vision, pedagogy and dialogic skills for the RE classroom
History & Philosophy Of Science	"""Leibniz"" in the Time of National Socialism"
Management	Firm growth, R&D expenditures and exports: An empirical analysis of italian SMEs
Public, Environmental & Occupational Health	East-West gradient in cardio-vascular mortality in Austria: how much can we explain by following the pattern of risk factors?
Social Sciences, Mathematical Methods	Regression analysis of censored data using pseudo-observations: An update
Industrial Relations & Labor	Benchmarking the Current Employment Statistics survey: the past, present, and future
History & Philosophy Of Science	Einstein's Generation: The Origins of the Relativity Revolution
Substance Abuse	The use of off-label medications in substance abuse treatment programs
Environmental Studies	Dependence of stock markets with gold and bonds under bullish and bearish market states
Hospitality, Leisure, Sport & Tourism	How can the use of a mobile application change the course of a sightseeing tour? A question of pace, gaze and information processing
History & Philosophy Of Science	Forensic Identification in the Aftermath of Human Rights Crimes in Chile A Decentered Computer History
Transportation	Modelling the effect of different pricing schemes on free-floating carsharing travel demand: a test case for Zurich, Switzerland
Demography	Canadian birth seasonality and its possible association with seasonal brightness
Communication	George W. Bush, Television News, and Rationales for the Iraq War
Social Issues	Continuity and Change in China's Civic Engagement from a 'State in Society' Perspective
Industrial Relations & Labor	Why do former high school athletes earn more than everyone else?
Area Studies	Futbol, Jews, and the Making of Argentina
Substance Abuse	Reductions in Hard Drug Use Among Homeless Youth Receiving a Strength-Based Outreach Intervention: Comparing the Long-Term Effects of Shelter Linkage Versus Drop-in Center Linkage
Cultural Studies	Towards a molecular agenda for the Left
Substance Abuse	Transitions through homelessness, substance use, and the effect of material marginalization and psychological trauma
Health Policy & Services	Retail Outlets Using Telehealth Pose Significant Policy Questions For Health Care
Social Sciences, Interdisciplinary	Flow, Altered States of Consciousness, and Human Evolution
Urban Studies	How cities shrink: Complex pathways to population decline
Political Science	Who Decides When The Party Doesn't? Authoritarian Voters and the Rise of Donald Trump
Environmental Studies	Marine Shoreline Management-A 35-Year Evaluation of Outcomes in San Juan County, Washington, US
Environmental Studies	Investigating the effectiveness of strategic environmental assessment in Thailand
Social Sciences, Interdisciplinary	From Sexism to Sexy: Challenging Young Adults' Ageism About Older Women's Sexuality
Hospitality, Leisure, Sport & Tourism	Food Enthusiasts and Tourism: Exploring Food Involvement Dimensions
Economics	Generalized marginal rate of substitution in multiconstraint consumer's problems and their reciprocal expenditure problems
Law	Problems of 'Subjective Imputation' in Domestic and International Criminal Law
History & Philosophy Of Science	Carl Friedrich Gauss und Russland: Sein Briefwechsel mit in Russland wirkenden Wissenschaftlern.
Education, Special	Relationships Between Humor Styles and Family Functioning in Parents of Children With Disabilities
Gerontology	Oral Healthcare Advocacy: Finally on the Upswing
Linguistics	Language, religion and national identity in Europe and the Middle East. A historical study.
International Relations	Poverty Amid Plenty in the New India
Cultural Studies	Catalan culture: experimentation, creative imagination and the relationship with Spain. Essays in honour of David George
Linguistics	The Dynamic Consultation: A Discourse Analytical Study of Doctor-Patient Communication
Hospitality, Leisure, Sport & Tourism	Paris offscreen: Chinese tourists in cinematic Paris
Social Sciences, Mathematical Methods	An effective method for constructing bounds for ruin probabilities for the surplus process perturbed by diffusion
Law	FAIR USE AND ITS GLOBAL PARADIGM EVOLUTION
History & Philosophy Of Science	Dizziness. An Epistemology of Orientation
Urban Studies	Voices in the city. On the role of arts, artists and urban space for a just city
Industrial Relations & Labor	How Should Minimum Wages be Set in Australia?
Rehabilitation	Internal consistency and construct validity of the Revised Illness Perception Questionnaire adapted for work disability following a musculoskeletal disorder
Cultural Studies	Monumental Art and Hidden Transcripts of Resistance in Revolutionary Cuba, 1970-1990
Industrial Relations & Labor	Understanding Turnover as a Lifecycle Process: The Case of Young Nurses
Substance Abuse	SJG YOUTH SERVICES - MENTAL HEALTH AND SUBSTANCE USE
